Date,Rate
2010-11-29,1.56
2010-11-30,1.56
2010-12-01,1.56
2010-12-02,1.56
2010-12-03,1.56
2010-12-04,1.56
2010-12-05,1.56
2010-12-06,1.58
2010-12-07,1.57
2010-12-08,1.58
2010-12-09,1.58
